244,194;390,264;Name
1050,252;1204,324;Rating
890,489;927,512;Goals
877,524;933,549;ShotsTarget
890,599;927,622;Assists
839,633;936,658;PassesCompleted
839,669;936,697;PassesFailed
890,707;927,732;PassesKey
882,741;935,765;Crosses
890,814;927,840;KeyDribbles
890,850;927,873;Fouled
890,885;927,909;1on1Dribbles
1613,490;1684,512;Tackles
1639,526;1679,550;Fouls
1639,562;1679,586;Penalties
1616,634;1677,659;IntBlocks
1645,670;1674,695;OutOfPos
1610,743;1678,768;Possession
1646,779;1678,802;Clearances
1610,812;1678,842;Headers
